"기준년월일","요일","시간대","발신지_시도","발신지_시군구","발신지_읍면동","통화건수"
"20190301","금","00","부산광역시","금정구","구서동","8"
"20190301","금","00","부산광역시","기장군","기장읍","6"
"20190301","금","00","부산광역시","기장군","정관읍","13"
"20190301","금","00","부산광역시","남구","대연동","5"
"20190301","금","00","부산광역시","동구","수정동","7"
"20190301","금","00","부산광역시","동구","초량동","5"
"20190301","금","00","부산광역시","동래구","안락동","12"
"20190301","금","00","부산광역시","동래구","명륜동","5"
"20190301","금","00","부산광역시","동래구","온천동","7"
"20190301","금","00","부산광역시","부산진구","범전동","5"
"20190301","금","00","부산광역시","부산진구","전포동","5"
"20190301","금","00","부산광역시","부산진구","부암동","24"
"20190301","금","00","부산광역시","북구","덕천동","9"
"20190301","금","00","부산광역시","북구","구포동","5"
"20190301","금","00","부산광역시","사상구","모라동","5"
"20190301","금","00","부산광역시","사상구","괘법동","5"
"20190301","금","00","부산광역시","사상구","학장동","18"
"20190301","금","00","부산광역시","사하구","신평동","23"
"20190301","금","00","부산광역시","사하구","괴정동","5"
"20190301","금","00","부산광역시","서구","부용동1가","17"
"20190301","금","00","부산광역시","수영구","남천동","5"
"20190301","금","00","부산광역시","수영구","광안동","5"
"20190301","금","00","부산광역시","연제구","연산동","9"
"20190301","금","00","부산광역시","영도구","동삼동","5"
"20190301","금","00","부산광역시","영도구","남항동1가","5"
"20190301","금","00","부산광역시","중구","부평동4가","5"
"20190301","금","00","부산광역시","해운대구","재송동","10"
"20190301","금","00","부산광역시","해운대구","송정동","5"
"20190301","금","00","부산광역시","해운대구","중동","10"
"20190301","금","01","부산광역시","금정구","구서동","5"
"20190301","금","01","부산광역시","기장군","기장읍","5"
"20190301","금","01","부산광역시","기장군","정관읍","10"
"20190301","금","01","부산광역시","남구","대연동","6"
"20190301","금","01","부산광역시","동구","초량동","5"
"20190301","금","01","부산광역시","동구","수정동","10"
"20190301","금","01","부산광역시","동래구","온천동","9"
"20190301","금","01","부산광역시","동래구","명륜동","5"
"20190301","금","01","부산광역시","동래구","안락동","5"
"20190301","금","01","부산광역시","부산진구","부암동","17"
"20190301","금","01","부산광역시","부산진구","부전동","5"
"20190301","금","01","부산광역시","북구","구포동","5"
"20190301","금","01","부산광역시","북구","덕천동","11"
"20190301","금","01","부산광역시","사상구","괘법동","5"
"20190301","금","01","부산광역시","사상구","학장동","7"
"20190301","금","01","부산광역시","사하구","신평동","8"
"20190301","금","01","부산광역시","서구","부용동1가","5"
"20190301","금","01","부산광역시","수영구","광안동","5"
"20190301","금","01","부산광역시","연제구","연산동","6"
"20190301","금","01","부산광역시","영도구","남항동1가","5"
"20190301","금","01","부산광역시","해운대구","송정동","5"
"20190301","금","01","부산광역시","해운대구","중동","10"
"20190301","금","01","부산광역시","해운대구","우동","5"
"20190301","금","01","부산광역시","해운대구","재송동","5"
"20190301","금","02","부산광역시","강서구","신호동","5"
"20190301","금","02","부산광역시","금정구","구서동","6"
"20190301","금","02","부산광역시","기장군","기장읍","5"
"20190301","금","02","부산광역시","기장군","정관읍","12"
"20190301","금","02","부산광역시","남구","대연동","5"
"20190301","금","02","부산광역시","동구","수정동","5"
"20190301","금","02","부산광역시","동래구","온천동","5"
"20190301","금","02","부산광역시","동래구","명륜동","5"
"20190301","금","02","부산광역시","동래구","안락동","5"
"20190301","금","02","부산광역시","부산진구","부암동","17"
"20190301","금","02","부산광역시","북구","덕천동","5"
"20190301","금","02","부산광역시","사상구","학장동","6"
"20190301","금","02","부산광역시","사하구","신평동","9"
"20190301","금","02","부산광역시","서구","부용동1가","5"
