"기준년월일","요일","시간대","발신지_시도","발신지_시군구","발신지_읍면동","통화건수"
"20180401","일","00","부산광역시","강서구","대저2동","5"
"20180401","일","00","부산광역시","강서구","신호동","5"
"20180401","일","00","부산광역시","금정구","구서동","11"
"20180401","일","00","부산광역시","기장군","기장읍","8"
"20180401","일","00","부산광역시","기장군","정관읍","17"
"20180401","일","00","부산광역시","남구","대연동","6"
"20180401","일","00","부산광역시","동구","범일동","5"
"20180401","일","00","부산광역시","동구","수정동","5"
"20180401","일","00","부산광역시","동래구","명륜동","12"
"20180401","일","00","부산광역시","동래구","사직동","5"
"20180401","일","00","부산광역시","동래구","안락동","8"
"20180401","일","00","부산광역시","부산진구","당감동","23"
"20180401","일","00","부산광역시","부산진구","개금동","5"
"20180401","일","00","부산광역시","부산진구","부전동","5"
"20180401","일","00","부산광역시","부산진구","전포동","5"
"20180401","일","00","부산광역시","북구","구포동","16"
"20180401","일","00","부산광역시","사상구","감전동","5"
"20180401","일","00","부산광역시","사상구","주례동","5"
"20180401","일","00","부산광역시","사상구","학장동","8"
"20180401","일","00","부산광역시","사하구","신평동","13"
"20180401","일","00","부산광역시","사하구","장림동","5"
"20180401","일","00","부산광역시","서구","동대신동3가","5"
"20180401","일","00","부산광역시","서구","부민동1가","11"
"20180401","일","00","부산광역시","수영구","광안동","6"
"20180401","일","00","부산광역시","연제구","거제동","5"
"20180401","일","00","부산광역시","연제구","연산동","9"
"20180401","일","00","부산광역시","영도구","영선동3가","5"
"20180401","일","00","부산광역시","해운대구","송정동","5"
"20180401","일","00","부산광역시","해운대구","우동","5"
"20180401","일","00","부산광역시","해운대구","재송동","13"
"20180401","일","00","부산광역시","해운대구","중동","7"
"20180401","일","01","부산광역시","금정구","구서동","5"
"20180401","일","01","부산광역시","기장군","기장읍","5"
"20180401","일","01","부산광역시","기장군","일광면","5"
"20180401","일","01","부산광역시","기장군","장안읍","5"
"20180401","일","01","부산광역시","기장군","정관읍","10"
"20180401","일","01","부산광역시","기장군","철마면","5"
"20180401","일","01","부산광역시","남구","대연동","8"
"20180401","일","01","부산광역시","동구","수정동","5"
"20180401","일","01","부산광역시","동래구","명륜동","6"
"20180401","일","01","부산광역시","동래구","안락동","7"
"20180401","일","01","부산광역시","부산진구","당감동","18"
"20180401","일","01","부산광역시","부산진구","부전동","5"
"20180401","일","01","부산광역시","부산진구","전포동","5"
"20180401","일","01","부산광역시","부산진구","범전동","5"
"20180401","일","01","부산광역시","북구","구포동","10"
"20180401","일","01","부산광역시","사상구","감전동","5"
"20180401","일","01","부산광역시","사상구","괘법동","5"
"20180401","일","01","부산광역시","사상구","덕포동","5"
"20180401","일","01","부산광역시","사상구","엄궁동","5"
"20180401","일","01","부산광역시","사상구","학장동","6"
"20180401","일","01","부산광역시","사하구","신평동","9"
"20180401","일","01","부산광역시","서구","부민동1가","6"
"20180401","일","01","부산광역시","수영구","광안동","10"
"20180401","일","01","부산광역시","연제구","연산동","12"
"20180401","일","01","부산광역시","영도구","영선동3가","5"
"20180401","일","01","부산광역시","중구","중앙동4가","5"
"20180401","일","01","부산광역시","해운대구","반송동","5"
"20180401","일","01","부산광역시","해운대구","송정동","5"
"20180401","일","01","부산광역시","해운대구","우동","5"
"20180401","일","01","부산광역시","해운대구","재송동","13"
"20180401","일","01","부산광역시","해운대구","중동","5"
"20180401","일","02","부산광역시","금정구","구서동","5"
"20180401","일","02","부산광역시","기장군","기장읍","5"
"20180401","일","02","부산광역시","기장군","정관읍","9"
"20180401","일","02","부산광역시","기장군","철마면","5"
"20180401","일","02","부산광역시","남구","대연동","5"
"20180401","일","02","부산광역시","동구","수정동","5"
