"기준년월일","요일","시간대","발신지_시도","발신지_시군구","발신지_읍면동","통화건수"
"20181201","토","00","부산광역시","강서구","신호동","6"
"20181201","토","00","부산광역시","금정구","구서동","10"
"20181201","토","00","부산광역시","기장군","기장읍","7"
"20181201","토","00","부산광역시","기장군","정관읍","21"
"20181201","토","00","부산광역시","남구","대연동","12"
"20181201","토","00","부산광역시","동구","수정동","9"
"20181201","토","00","부산광역시","동래구","명륜동","5"
"20181201","토","00","부산광역시","동래구","안락동","14"
"20181201","토","00","부산광역시","동래구","온천동","12"
"20181201","토","00","부산광역시","부산진구","부암동","28"
"20181201","토","00","부산광역시","북구","덕천동","9"
"20181201","토","00","부산광역시","북구","만덕동","5"
"20181201","토","00","부산광역시","사상구","괘법동","5"
"20181201","토","00","부산광역시","사상구","학장동","15"
"20181201","토","00","부산광역시","사하구","신평동","11"
"20181201","토","00","부산광역시","서구","부용동1가","12"
"20181201","토","00","부산광역시","수영구","광안동","10"
"20181201","토","00","부산광역시","연제구","연산동","15"
"20181201","토","00","부산광역시","영도구","남항동1가","5"
"20181201","토","00","부산광역시","해운대구","반송동","5"
"20181201","토","00","부산광역시","해운대구","재송동","13"
"20181201","토","00","부산광역시","해운대구","중동","10"
"20181201","토","01","부산광역시","금정구","구서동","8"
"20181201","토","01","부산광역시","기장군","기장읍","5"
"20181201","토","01","부산광역시","기장군","장안읍","5"
"20181201","토","01","부산광역시","기장군","정관읍","15"
"20181201","토","01","부산광역시","남구","대연동","6"
"20181201","토","01","부산광역시","동구","수정동","5"
"20181201","토","01","부산광역시","동구","초량동","5"
"20181201","토","01","부산광역시","동래구","명륜동","5"
"20181201","토","01","부산광역시","동래구","안락동","5"
"20181201","토","01","부산광역시","동래구","온천동","12"
"20181201","토","01","부산광역시","부산진구","개금동","5"
"20181201","토","01","부산광역시","부산진구","범전동","5"
"20181201","토","01","부산광역시","부산진구","부암동","20"
"20181201","토","01","부산광역시","부산진구","부전동","5"
"20181201","토","01","부산광역시","북구","덕천동","11"
"20181201","토","01","부산광역시","사상구","학장동","9"
"20181201","토","01","부산광역시","사하구","괴정동","5"
"20181201","토","01","부산광역시","사하구","신평동","6"
"20181201","토","01","부산광역시","사하구","하단동","5"
"20181201","토","01","부산광역시","서구","부용동1가","5"
"20181201","토","01","부산광역시","수영구","광안동","6"
"20181201","토","01","부산광역시","연제구","연산동","7"
"20181201","토","01","부산광역시","영도구","남항동1가","5"
"20181201","토","01","부산광역시","해운대구","재송동","12"
"20181201","토","01","부산광역시","해운대구","중동","11"
"20181201","토","02","부산광역시","강서구","대저2동","5"
"20181201","토","02","부산광역시","금정구","구서동","5"
"20181201","토","02","부산광역시","기장군","정관읍","12"
"20181201","토","02","부산광역시","남구","감만동","5"
"20181201","토","02","부산광역시","남구","대연동","5"
"20181201","토","02","부산광역시","동구","수정동","5"
"20181201","토","02","부산광역시","동래구","명륜동","5"
"20181201","토","02","부산광역시","동래구","안락동","5"
"20181201","토","02","부산광역시","동래구","온천동","6"
"20181201","토","02","부산광역시","부산진구","범전동","5"
"20181201","토","02","부산광역시","부산진구","부암동","20"
"20181201","토","02","부산광역시","북구","덕천동","8"
"20181201","토","02","부산광역시","사상구","괘법동","5"
"20181201","토","02","부산광역시","사상구","엄궁동","5"
"20181201","토","02","부산광역시","사상구","학장동","5"
"20181201","토","02","부산광역시","사하구","신평동","7"
"20181201","토","02","부산광역시","서구","부용동1가","5"
