"기준년월일","요일","시간대","발신지_시도","발신지_시군구","발신지_읍면동","통화건수"
"20151101","일","00","부산광역시","강서구","명지동","5"
"20151101","일","00","부산광역시","강서구","강동동","5"
"20151101","일","00","부산광역시","강서구","대저1동","5"
"20151101","일","00","부산광역시","금정구","부곡동","5"
"20151101","일","00","부산광역시","금정구","장전동","5"
"20151101","일","00","부산광역시","금정구","구서동","6"
"20151101","일","00","부산광역시","금정구","남산동","5"
"20151101","일","00","부산광역시","금정구","서동","5"
"20151101","일","00","부산광역시","기장군","정관면","24"
"20151101","일","00","부산광역시","기장군","기장읍","5"
"20151101","일","00","부산광역시","남구","문현동","5"
"20151101","일","00","부산광역시","남구","감만동","5"
"20151101","일","00","부산광역시","남구","대연동","8"
"20151101","일","00","부산광역시","남구","용호동","5"
"20151101","일","00","부산광역시","동구","범일동","5"
"20151101","일","00","부산광역시","동구","초량동","5"
"20151101","일","00","부산광역시","동구","수정동","5"
"20151101","일","00","부산광역시","동래구","명장동","5"
"20151101","일","00","부산광역시","동래구","복천동","5"
"20151101","일","00","부산광역시","동래구","온천동","5"
"20151101","일","00","부산광역시","동래구","명륜동","9"
"20151101","일","00","부산광역시","동래구","안락동","5"
"20151101","일","00","부산광역시","동래구","낙민동","6"
"20151101","일","00","부산광역시","동래구","사직동","5"
"20151101","일","00","부산광역시","부산진구","범천동","5"
"20151101","일","00","부산광역시","부산진구","전포동","5"
"20151101","일","00","부산광역시","부산진구","개금동","5"
"20151101","일","00","부산광역시","부산진구","당감동","20"
"20151101","일","00","부산광역시","부산진구","부전동","5"
"20151101","일","00","부산광역시","북구","덕천동","5"
"20151101","일","00","부산광역시","북구","구포동","14"
"20151101","일","00","부산광역시","북구","만덕동","5"
"20151101","일","00","부산광역시","사상구","주례동","5"
"20151101","일","00","부산광역시","사상구","엄궁동","5"
"20151101","일","00","부산광역시","사상구","괘법동","5"
"20151101","일","00","부산광역시","사상구","덕포동","5"
"20151101","일","00","부산광역시","사상구","감전동","5"
"20151101","일","00","부산광역시","사상구","모라동","5"
"20151101","일","00","부산광역시","사하구","감천동","7"
"20151101","일","00","부산광역시","사하구","하단동","5"
"20151101","일","00","부산광역시","사하구","신평동","20"
"20151101","일","00","부산광역시","사하구","당리동","5"
"20151101","일","00","부산광역시","사하구","괴정동","5"
"20151101","일","00","부산광역시","서구","부용동1가","6"
"20151101","일","00","부산광역시","서구","암남동","5"
"20151101","일","00","부산광역시","수영구","민락동","13"
