"기준년월일","요일","시간대","발신지_시도","발신지_시군구","발신지_읍면동","통화건수"
"20180901","토","00","부산광역시","강서구","명지동","5"
"20180901","토","00","부산광역시","강서구","신호동","5"
"20180901","토","00","부산광역시","금정구","부곡동","9"
"20180901","토","00","부산광역시","기장군","기장읍","11"
"20180901","토","00","부산광역시","기장군","장안읍","5"
"20180901","토","00","부산광역시","기장군","정관면","15"
"20180901","토","00","부산광역시","남구","대연동","19"
"20180901","토","00","부산광역시","남구","용호동","5"
"20180901","토","00","부산광역시","동구","수정동","8"
"20180901","토","00","부산광역시","동구","좌천동","5"
"20180901","토","00","부산광역시","동구","초량동","5"
"20180901","토","00","부산광역시","동래구","명륜동","5"
"20180901","토","00","부산광역시","동래구","명장동","5"
"20180901","토","00","부산광역시","동래구","안락동","15"
"20180901","토","00","부산광역시","동래구","온천동","18"
"20180901","토","00","부산광역시","부산진구","당감동","86"
"20180901","토","00","부산광역시","부산진구","부전동","6"
"20180901","토","00","부산광역시","부산진구","전포동","5"
"20180901","토","00","부산광역시","북구","구포동","5"
"20180901","토","00","부산광역시","북구","덕천동","26"
"20180901","토","00","부산광역시","사상구","괘법동","5"
"20180901","토","00","부산광역시","사상구","모라동","5"
"20180901","토","00","부산광역시","사상구","주례동","5"
"20180901","토","00","부산광역시","사상구","학장동","40"
"20180901","토","00","부산광역시","사하구","신평동","31"
"20180901","토","00","부산광역시","서구","부민동1가","61"
"20180901","토","00","부산광역시","수영구","광안동","19"
"20180901","토","00","부산광역시","수영구","망미동","5"
"20180901","토","00","부산광역시","연제구","연산동","20"
"20180901","토","00","부산광역시","영도구","동삼동","5"
"20180901","토","00","부산광역시","영도구","영선동3가","11"
"20180901","토","00","부산광역시","중구","대청동2가","5"
"20180901","토","00","부산광역시","중구","부평동2가","5"
"20180901","토","00","부산광역시","중구","중앙동4가","5"
"20180901","토","00","부산광역시","해운대구","반송동","5"
"20180901","토","00","부산광역시","해운대구","반여동","5"
"20180901","토","00","부산광역시","해운대구","재송동","19"
"20180901","토","00","부산광역시","해운대구","좌동","12"
"20180901","토","00","부산광역시","해운대구","중동","5"
"20180901","토","01","부산광역시","강서구","신호동","5"
"20180901","토","01","부산광역시","금정구","부곡동","6"
"20180901","토","01","부산광역시","기장군","기장읍","5"
"20180901","토","01","부산광역시","기장군","정관면","9"
"20180901","토","01","부산광역시","기장군","정관읍","5"
"20180901","토","01","부산광역시","남구","대연동","12"
"20180901","토","01","부산광역시","동구","수정동","5"
"20180901","토","01","부산광역시","동래구","명륜동","5"
"20180901","토","01","부산광역시","동래구","명장동","5"
"20180901","토","01","부산광역시","동래구","안락동","8"
"20180901","토","01","부산광역시","동래구","온천동","8"
"20180901","토","01","부산광역시","부산진구","당감동","56"
