"기준년월일","요일","시간대","발신지_시도","발신지_시군구","발신지_읍면동","통화건수"
"20171101","수","00","부산광역시","강서구","대저2동","5"
"20171101","수","00","부산광역시","강서구","신호동","5"
"20171101","수","00","부산광역시","금정구","부곡동","5"
"20171101","수","00","부산광역시","기장군","기장읍","5"
"20171101","수","00","부산광역시","기장군","정관면","7"
"20171101","수","00","부산광역시","남구","대연동","6"
"20171101","수","00","부산광역시","남구","용호동","5"
"20171101","수","00","부산광역시","동구","수정동","5"
"20171101","수","00","부산광역시","동래구","명륜동","9"
"20171101","수","00","부산광역시","동래구","안락동","5"
"20171101","수","00","부산광역시","부산진구","당감동","19"
"20171101","수","00","부산광역시","부산진구","전포동","5"
"20171101","수","00","부산광역시","북구","구포동","7"
"20171101","수","00","부산광역시","북구","금곡동","5"
"20171101","수","00","부산광역시","북구","덕천동","5"
"20171101","수","00","부산광역시","사상구","감전동","5"
"20171101","수","00","부산광역시","사상구","학장동","5"
"20171101","수","00","부산광역시","사상구","주례동","5"
"20171101","수","00","부산광역시","사하구","신평동","5"
"20171101","수","00","부산광역시","서구","부민동1가","10"
"20171101","수","00","부산광역시","수영구","광안동","5"
"20171101","수","00","부산광역시","수영구","남천동","5"
"20171101","수","00","부산광역시","연제구","연산동","5"
"20171101","수","00","부산광역시","영도구","영선동3가","5"
"20171101","수","00","부산광역시","해운대구","반여동","5"
"20171101","수","00","부산광역시","해운대구","재송동","10"
"20171101","수","00","부산광역시","해운대구","좌동","5"
"20171101","수","01","부산광역시","금정구","부곡동","5"
"20171101","수","01","부산광역시","금정구","장전동","5"
"20171101","수","01","부산광역시","기장군","기장읍","5"
"20171101","수","01","부산광역시","기장군","정관면","9"
"20171101","수","01","부산광역시","기장군","정관읍","5"
"20171101","수","01","부산광역시","남구","대연동","5"
"20171101","수","01","부산광역시","남구","용당동","5"
"20171101","수","01","부산광역시","동구","수정동","5"
"20171101","수","01","부산광역시","동래구","명륜동","5"
"20171101","수","01","부산광역시","동래구","안락동","5"
"20171101","수","01","부산광역시","부산진구","개금동","5"
"20171101","수","01","부산광역시","부산진구","당감동","5"
"20171101","수","01","부산광역시","북구","구포동","5"
"20171101","수","01","부산광역시","북구","덕천동","5"
"20171101","수","01","부산광역시","사상구","감전동","5"
"20171101","수","01","부산광역시","사상구","학장동","5"
"20171101","수","01","부산광역시","사하구","신평동","5"
"20171101","수","01","부산광역시","서구","부민동1가","5"
"20171101","수","01","부산광역시","수영구","광안동","5"
"20171101","수","01","부산광역시","연제구","연산동","5"
"20171101","수","01","부산광역시","영도구","영선동3가","5"
"20171101","수","01","부산광역시","중구","보수동1가","5"
"20171101","수","01","부산광역시","해운대구","송정동","5"
"20171101","수","01","부산광역시","해운대구","우동","5"
"20171101","수","01","부산광역시","해운대구","재송동","5"
"20171101","수","01","부산광역시","해운대구","좌동","5"
"20171101","수","02","부산광역시","금정구","부곡동","5"
"20171101","수","02","부산광역시","기장군","기장읍","5"
"20171101","수","02","부산광역시","기장군","정관면","8"
"20171101","수","02","부산광역시","남구","대연동","5"
"20171101","수","02","부산광역시","동구","초량동","5"
"20171101","수","02","부산광역시","동래구","명륜동","5"
"20171101","수","02","부산광역시","동래구","안락동","5"
"20171101","수","02","부산광역시","부산진구","당감동","11"
"20171101","수","02","부산광역시","부산진구","범전동","5"
"20171101","수","02","부산광역시","부산진구","부전동","5"
"20171101","수","02","부산광역시","부산진구","초읍동","5"
"20171101","수","02","부산광역시","북구","구포동","5"
"20171101","수","02","부산광역시","사상구","모라동","5"
"20171101","수","02","부산광역시","사상구","엄궁동","5"
"20171101","수","02","부산광역시","사상구","학장동","5"
"20171101","수","02","부산광역시","사하구","괴정동","5"
"20171101","수","02","부산광역시","사하구","신평동","5"
"20171101","수","02","부산광역시","서구","부민동1가","5"
"20171101","수","02","부산광역시","서구","토성동2가","5"
"20171101","수","02","부산광역시","수영구","광안동","5"
"20171101","수","02","부산광역시","연제구","거제동","5"
"20171101","수","02","부산광역시","연제구","연산동","5"
"20171101","수","02","부산광역시","영도구","영선동3가","5"
"20171101","수","02","부산광역시","해운대구","송정동","5"
"20171101","수","02","부산광역시","해운대구","재송동","5"
"20171101","수","02","부산광역시","해운대구","좌동","5"
"20171101","수","03","부산광역시","금정구","부곡동","5"
"20171101","수","03","부산광역시","기장군","기장읍","5"
"20171101","수","03","부산광역시","기장군","정관면","7"
"20171101","수","03","부산광역시","남구","대연동","5"
"20171101","수","03","부산광역시","동구","범일동","5"
"20171101","수","03","부산광역시","동구","초량동","5"
"20171101","수","03","부산광역시","동래구","명륜동","5"
"20171101","수","03","부산광역시","동래구","사직동","5"
"20171101","수","03","부산광역시","동래구","안락동","5"
"20171101","수","03","부산광역시","부산진구","당감동","7"
"20171101","수","03","부산광역시","부산진구","전포동","5"
"20171101","수","03","부산광역시","북구","구포동","5"
"20171101","수","03","부산광역시","사상구","주례동","5"
"20171101","수","03","부산광역시","사하구","감천동","5"
"20171101","수","03","부산광역시","사하구","구평동","5"
"20171101","수","03","부산광역시","사하구","다대동","5"
"20171101","수","03","부산광역시","사하구","신평동","5"
"20171101","수","03","부산광역시","서구","부민동1가","5"
"20171101","수","03","부산광역시","서구","암남동","5"
"20171101","수","03","부산광역시","수영구","광안동","5"
"20171101","수","03","부산광역시","연제구","연산동","5"
"20171101","수","03","부산광역시","해운대구","우동","5"
"20171101","수","03","부산광역시","해운대구","재송동","5"
"20171101","수","03","부산광역시","해운대구","좌동","5"
"20171101","수","04","부산광역시","금정구","구서동","5"
"20171101","수","04","부산광역시","금정구","부곡동","5"
"20171101","수","04","부산광역시","기장군","기장읍","5"
"20171101","수","04","부산광역시","기장군","정관면","5"
"20171101","수","04","부산광역시","기장군","정관읍","5"
"20171101","수","04","부산광역시","남구","대연동","8"
"20171101","수","04","부산광역시","남구","용당동","5"
"20171101","수","04","부산광역시","동래구","명륜동","5"
"20171101","수","04","부산광역시","동래구","명장동","5"
"20171101","수","04","부산광역시","동래구","안락동","6"
"20171101","수","04","부산광역시","동래구","온천동","5"
"20171101","수","04","부산광역시","부산진구","당감동","11"
"20171101","수","04","부산광역시","북구","구포동","7"
"20171101","수","04","부산광역시","사상구","모라동","5"
"20171101","수","04","부산광역시","사상구","주례동","5"
"20171101","수","04","부산광역시","사상구","학장동","5"
"20171101","수","04","부산광역시","사하구","감천동","5"
"20171101","수","04","부산광역시","사하구","신평동","9"
"20171101","수","04","부산광역시","서구","부민동1가","5"
"20171101","수","04","부산광역시","수영구","광안동","5"
"20171101","수","04","부산광역시","연제구","연산동","7"
"20171101","수","04","부산광역시","영도구","영선동3가","5"
"20171101","수","04","부산광역시","해운대구","반송동","5"
"20171101","수","04","부산광역시","해운대구","재송동","9"
"20171101","수","04","부산광역시","해운대구","좌동","6"
"20171101","수","05","부산광역시","강서구","대저2동","5"
"20171101","수","05","부산광역시","금정구","부곡동","13"
"20171101","수","05","부산광역시","기장군","기장읍","5"
"20171101","수","05","부산광역시","기장군","장안읍","5"
"20171101","수","05","부산광역시","기장군","정관면","10"
"20171101","수","05","부산광역시","기장군","정관읍","5"
"20171101","수","05","부산광역시","남구","대연동","10"
"20171101","수","05","부산광역시","남구","문현동","5"
"20171101","수","05","부산광역시","동구","수정동","5"
"20171101","수","05","부산광역시","동래구","명륜동","8"
"20171101","수","05","부산광역시","동래구","명장동","5"
"20171101","수","05","부산광역시","동래구","안락동","11"
"20171101","수","05","부산광역시","동래구","온천동","5"
"20171101","수","05","부산광역시","부산진구","당감동","22"
"20171101","수","05","부산광역시","부산진구","초읍동","5"
"20171101","수","05","부산광역시","부산진구","범전동","5"
"20171101","수","05","부산광역시","북구","구포동","13"
"20171101","수","05","부산광역시","사상구","괘법동","5"
"20171101","수","05","부산광역시","사상구","모라동","5"
"20171101","수","05","부산광역시","사상구","엄궁동","5"
"20171101","수","05","부산광역시","사상구","주례동","5"
"20171101","수","05","부산광역시","사상구","학장동","5"
"20171101","수","05","부산광역시","사하구","구평동","5"
"20171101","수","05","부산광역시","사하구","신평동","14"
"20171101","수","05","부산광역시","서구","부민동1가","5"
"20171101","수","05","부산광역시","수영구","광안동","5"
"20171101","수","05","부산광역시","연제구","거제동","5"
"20171101","수","05","부산광역시","연제구","연산동","6"
"20171101","수","05","부산광역시","영도구","동삼동","5"
"20171101","수","05","부산광역시","영도구","영선동3가","5"
"20171101","수","05","부산광역시","해운대구","반여동","5"
"20171101","수","05","부산광역시","해운대구","우동","5"
"20171101","수","05","부산광역시","해운대구","반송동","5"
"20171101","수","05","부산광역시","해운대구","재송동","12"
"20171101","수","05","부산광역시","해운대구","좌동","12"
"20171101","수","05","부산광역시","해운대구","중동","5"
"20171101","수","06","부산광역시","강서구","대저2동","5"
"20171101","수","06","부산광역시","강서구","신호동","5"
"20171101","수","06","부산광역시","금정구","부곡동","13"
"20171101","수","06","부산광역시","기장군","기장읍","8"
"20171101","수","06","부산광역시","기장군","정관면","9"
"20171101","수","06","부산광역시","남구","대연동","18"
"20171101","수","06","부산광역시","남구","문현동","5"
"20171101","수","06","부산광역시","남구","용호동","5"
"20171101","수","06","부산광역시","동구","수정동","5"
"20171101","수","06","부산광역시","동래구","명륜동","12"
"20171101","수","06","부산광역시","동래구","명장동","5"
"20171101","수","06","부산광역시","동래구","사직동","5"
"20171101","수","06","부산광역시","동래구","안락동","20"
"20171101","수","06","부산광역시","동래구","온천동","5"
"20171101","수","06","부산광역시","부산진구","당감동","26"
"20171101","수","06","부산광역시","부산진구","범전동","5"
"20171101","수","06","부산광역시","부산진구","연지동","5"
"20171101","수","06","부산광역시","북구","구포동","26"
"20171101","수","06","부산광역시","북구","덕천동","5"
"20171101","수","06","부산광역시","북구","만덕동","5"
"20171101","수","06","부산광역시","북구","화명동","5"
"20171101","수","06","부산광역시","사상구","감전동","5"
"20171101","수","06","부산광역시","사상구","괘법동","5"
"20171101","수","06","부산광역시","사상구","모라동","5"
"20171101","수","06","부산광역시","사상구","엄궁동","5"
"20171101","수","06","부산광역시","사상구","학장동","8"
"20171101","수","06","부산광역시","사하구","당리동","5"
"20171101","수","06","부산광역시","사하구","신평동","17"
"20171101","수","06","부산광역시","사하구","하단동","5"
"20171101","수","06","부산광역시","서구","동대신동3가","5"
"20171101","수","06","부산광역시","서구","부민동1가","5"
"20171101","수","06","부산광역시","수영구","광안동","5"
"20171101","수","06","부산광역시","연제구","거제동","5"
"20171101","수","06","부산광역시","연제구","연산동","13"
"20171101","수","06","부산광역시","영도구","봉래동3가","5"
"20171101","수","06","부산광역시","영도구","영선동3가","7"
"20171101","수","06","부산광역시","해운대구","반송동","5"
"20171101","수","06","부산광역시","해운대구","반여동","5"
"20171101","수","06","부산광역시","해운대구","우동","5"
"20171101","수","06","부산광역시","해운대구","재송동","22"
"20171101","수","06","부산광역시","해운대구","좌동","13"
"20171101","수","07","부산광역시","강서구","대저2동","5"
"20171101","수","07","부산광역시","강서구","명지동","5"
"20171101","수","07","부산광역시","강서구","신호동","5"
"20171101","수","07","부산광역시","금정구","구서동","5"
"20171101","수","07","부산광역시","금정구","부곡동","19"
"20171101","수","07","부산광역시","기장군","기장읍","9"
"20171101","수","07","부산광역시","기장군","장안읍","5"
"20171101","수","07","부산광역시","기장군","정관면","23"
"20171101","수","07","부산광역시","기장군","정관읍","5"
"20171101","수","07","부산광역시","남구","대연동","37"
"20171101","수","07","부산광역시","남구","문현동","5"
"20171101","수","07","부산광역시","남구","용호동","5"
"20171101","수","07","부산광역시","동구","수정동","5"
"20171101","수","07","부산광역시","동래구","명륜동","28"
"20171101","수","07","부산광역시","동래구","명장동","5"
"20171101","수","07","부산광역시","동래구","사직동","5"
"20171101","수","07","부산광역시","동래구","안락동","29"
"20171101","수","07","부산광역시","동래구","온천동","5"
"20171101","수","07","부산광역시","동래구","칠산동","5"
"20171101","수","07","부산광역시","부산진구","개금동","5"
"20171101","수","07","부산광역시","부산진구","당감동","62"
"20171101","수","07","부산광역시","부산진구","연지동","5"
"20171101","수","07","부산광역시","부산진구","전포동","5"
"20171101","수","07","부산광역시","부산진구","초읍동","5"
"20171101","수","07","부산광역시","북구","구포동","37"
"20171101","수","07","부산광역시","북구","금곡동","5"
"20171101","수","07","부산광역시","북구","덕천동","5"
"20171101","수","07","부산광역시","사상구","모라동","5"
"20171101","수","07","부산광역시","사상구","엄궁동","5"
"20171101","수","07","부산광역시","사상구","주례동","5"
"20171101","수","07","부산광역시","사상구","학장동","28"
"20171101","수","07","부산광역시","사하구","다대동","5"
"20171101","수","07","부산광역시","사하구","신평동","31"
"20171101","수","07","부산광역시","서구","부민동1가","5"
"20171101","수","07","부산광역시","서구","부민동3가","5"
"20171101","수","07","부산광역시","서구","암남동","5"
"20171101","수","07","부산광역시","서구","토성동5가","5"
"20171101","수","07","부산광역시","수영구","광안동","8"
"20171101","수","07","부산광역시","수영구","남천동","5"
"20171101","수","07","부산광역시","수영구","민락동","5"
"20171101","수","07","부산광역시","연제구","거제동","5"
"20171101","수","07","부산광역시","연제구","연산동","22"
"20171101","수","07","부산광역시","영도구","동삼동","5"
"20171101","수","07","부산광역시","영도구","영선동3가","11"
"20171101","수","07","부산광역시","영도구","청학동","5"
"20171101","수","07","부산광역시","중구","영주동","5"
"20171101","수","07","부산광역시","중구","중앙동1가","5"
"20171101","수","07","부산광역시","해운대구","반송동","5"
"20171101","수","07","부산광역시","해운대구","반여동","5"
"20171101","수","07","부산광역시","해운대구","송정동","5"
"20171101","수","07","부산광역시","해운대구","우동","6"
"20171101","수","07","부산광역시","해운대구","재송동","41"
"20171101","수","07","부산광역시","해운대구","좌동","24"
"20171101","수","07","부산광역시","해운대구","중동","5"
"20171101","수","08","부산광역시","강서구","대저2동","5"
"20171101","수","08","부산광역시","강서구","신호동","5"
"20171101","수","08","부산광역시","금정구","구서동","5"
"20171101","수","08","부산광역시","금정구","부곡동","17"
"20171101","수","08","부산광역시","금정구","장전동","5"
"20171101","수","08","부산광역시","기장군","기장읍","17"
