"기준년월일","요일","시간대","발신지_시도","발신지_시군구","발신지_읍면동","통화건수"
"20181001","월","00","부산광역시","금정구","구서동","5"
"20181001","월","00","부산광역시","기장군","기장읍","6"
"20181001","월","00","부산광역시","기장군","정관읍","11"
"20181001","월","00","부산광역시","남구","대연동","7"
"20181001","월","00","부산광역시","동구","수정동","5"
"20181001","월","00","부산광역시","동래구","명륜동","5"
"20181001","월","00","부산광역시","동래구","안락동","5"
"20181001","월","00","부산광역시","동래구","온천동","5"
"20181001","월","00","부산광역시","부산진구","부암동","13"
"20181001","월","00","부산광역시","북구","구포동","5"
"20181001","월","00","부산광역시","북구","덕천동","5"
"20181001","월","00","부산광역시","사상구","학장동","7"
"20181001","월","00","부산광역시","사하구","구평동","5"
"20181001","월","00","부산광역시","사하구","신평동","5"
"20181001","월","00","부산광역시","서구","부용동1가","5"
"20181001","월","00","부산광역시","수영구","광안동","5"
"20181001","월","00","부산광역시","연제구","거제동","5"
"20181001","월","00","부산광역시","연제구","연산동","5"
"20181001","월","00","부산광역시","영도구","남항동1가","5"
"20181001","월","00","부산광역시","해운대구","반송동","5"
"20181001","월","00","부산광역시","해운대구","반여동","5"
"20181001","월","00","부산광역시","해운대구","재송동","6"
"20181001","월","00","부산광역시","해운대구","중동","8"
"20181001","월","01","부산광역시","금정구","구서동","5"
"20181001","월","01","부산광역시","기장군","기장읍","5"
"20181001","월","01","부산광역시","기장군","장안읍","5"
"20181001","월","01","부산광역시","기장군","정관읍","6"
"20181001","월","01","부산광역시","남구","대연동","5"
"20181001","월","01","부산광역시","동래구","명륜동","5"
"20181001","월","01","부산광역시","동래구","온천동","5"
"20181001","월","01","부산광역시","부산진구","개금동","5"
"20181001","월","01","부산광역시","부산진구","부암동","8"
"20181001","월","01","부산광역시","북구","덕천동","5"
"20181001","월","01","부산광역시","사상구","학장동","5"
"20181001","월","01","부산광역시","사하구","괴정동","5"
"20181001","월","01","부산광역시","사하구","신평동","5"
"20181001","월","01","부산광역시","서구","부용동1가","5"
"20181001","월","01","부산광역시","수영구","광안동","5"
"20181001","월","01","부산광역시","연제구","연산동","5"
"20181001","월","01","부산광역시","영도구","남항동1가","5"
"20181001","월","01","부산광역시","해운대구","재송동","5"
"20181001","월","01","부산광역시","해운대구","중동","5"
"20181001","월","02","부산광역시","금정구","구서동","5"
"20181001","월","02","부산광역시","기장군","정관읍","5"
"20181001","월","02","부산광역시","기장군","기장읍","5"
"20181001","월","02","부산광역시","남구","대연동","5"
"20181001","월","02","부산광역시","동구","수정동","5"
"20181001","월","02","부산광역시","동래구","명륜동","5"
"20181001","월","02","부산광역시","동래구","안락동","5"
"20181001","월","02","부산광역시","동래구","온천동","5"
"20181001","월","02","부산광역시","부산진구","부암동","5"
"20181001","월","02","부산광역시","부산진구","초읍동","5"
"20181001","월","02","부산광역시","북구","덕천동","5"
"20181001","월","02","부산광역시","사상구","엄궁동","5"
"20181001","월","02","부산광역시","사상구","학장동","5"
"20181001","월","02","부산광역시","사하구","감천동","5"
"20181001","월","02","부산광역시","사하구","신평동","5"
"20181001","월","02","부산광역시","서구","부용동1가","5"
"20181001","월","02","부산광역시","연제구","연산동","5"
"20181001","월","02","부산광역시","영도구","남항동1가","6"
"20181001","월","02","부산광역시","해운대구","반송동","5"
"20181001","월","02","부산광역시","해운대구","재송동","7"
"20181001","월","02","부산광역시","해운대구","중동","5"
"20181001","월","03","부산광역시","금정구","구서동","5"
"20181001","월","03","부산광역시","기장군","정관읍","5"
"20181001","월","03","부산광역시","남구","대연동","5"
"20181001","월","03","부산광역시","동래구","명륜동","5"
"20181001","월","03","부산광역시","동래구","안락동","5"
"20181001","월","03","부산광역시","동래구","온천동","5"
"20181001","월","03","부산광역시","부산진구","부암동","5"
"20181001","월","03","부산광역시","북구","덕천동","5"
"20181001","월","03","부산광역시","사상구","학장동","5"
"20181001","월","03","부산광역시","사하구","구평동","5"
"20181001","월","03","부산광역시","사하구","신평동","6"
"20181001","월","03","부산광역시","사하구","장림동","5"
"20181001","월","03","부산광역시","서구","부용동1가","5"
"20181001","월","03","부산광역시","서구","암남동","5"
"20181001","월","03","부산광역시","수영구","광안동","5"
"20181001","월","03","부산광역시","연제구","연산동","5"
"20181001","월","03","부산광역시","영도구","청학동","5"
"20181001","월","03","부산광역시","해운대구","재송동","5"
"20181001","월","03","부산광역시","해운대구","반송동","5"
"20181001","월","03","부산광역시","해운대구","중동","5"
"20181001","월","04","부산광역시","금정구","구서동","8"
"20181001","월","04","부산광역시","기장군","기장읍","5"
"20181001","월","04","부산광역시","기장군","정관읍","5"
"20181001","월","04","부산광역시","남구","대연동","8"
"20181001","월","04","부산광역시","동구","수정동","5"
"20181001","월","04","부산광역시","동래구","안락동","5"
"20181001","월","04","부산광역시","동래구","명륜동","5"
"20181001","월","04","부산광역시","동래구","온천동","5"
"20181001","월","04","부산광역시","부산진구","부암동","18"
"20181001","월","04","부산광역시","북구","덕천동","13"
"20181001","월","04","부산광역시","북구","화명동","5"
"20181001","월","04","부산광역시","사상구","엄궁동","5"
"20181001","월","04","부산광역시","사상구","학장동","6"
"20181001","월","04","부산광역시","사하구","신평동","7"
"20181001","월","04","부산광역시","서구","부용동1가","5"
"20181001","월","04","부산광역시","수영구","광안동","5"
"20181001","월","04","부산광역시","수영구","민락동","5"
"20181001","월","04","부산광역시","연제구","거제동","5"
"20181001","월","04","부산광역시","연제구","연산동","5"
"20181001","월","04","부산광역시","영도구","남항동1가","5"
"20181001","월","04","부산광역시","해운대구","재송동","9"
"20181001","월","04","부산광역시","해운대구","좌동","5"
"20181001","월","04","부산광역시","해운대구","중동","8"
"20181001","월","05","부산광역시","강서구","신호동","5"
"20181001","월","05","부산광역시","금정구","구서동","9"
"20181001","월","05","부산광역시","기장군","기장읍","5"
"20181001","월","05","부산광역시","기장군","정관읍","5"
"20181001","월","05","부산광역시","남구","대연동","12"
"20181001","월","05","부산광역시","남구","문현동","5"
"20181001","월","05","부산광역시","동구","수정동","5"
"20181001","월","05","부산광역시","동래구","명륜동","5"
"20181001","월","05","부산광역시","동래구","사직동","5"
"20181001","월","05","부산광역시","동래구","안락동","13"
